Header,Emoji,Description,Requirements,Tasks,Pluses,Hashtags,Link,Raw text
Android app developer at Plus,📱,"The Yandex Plus team is responsible for developing content subscriptions and user loyalty. For example, we're developing cashback with Plus points. One of the team's main goals is to foster cross-service collaboration: Plus subscribers discover new Yandex products, and Yandex services gain new users. We have many ideas for how to achieve this: social features, new mechanics, and strong hypotheses that we'll test together.
We're assembling a team to create a new service and are seeking diverse specialists from the gaming industry and beyond.","• know Kotlin and Java
• are familiar with Android system frameworks and Google guidelines
• know how to use Git","• develop an SDK for a new service and integrate it into various applications
• participate in the design of interactions between the client application and the server
• solve problems related to various scenarios","• developed client-server applications (JSON + HTTPS)
• know how to write tests
• worked on a platform team
• have experience working with TeamCity",android kotlin java json https teamcity,https://ya.cc/t/IEuz3bYMXMnze,"Android App Developer at Plus📱

The Yandex Plus team is responsible for developing content subscriptions and user loyalty. For example, we're developing cashback with Plus points. One of the team's main goals is to foster cross-service collaboration: Plus subscribers discover new Yandex products, and Yandex services gain new users. We have many ideas for how to achieve this: social features, new mechanics, and strong hypotheses that we'll test together.
We're assembling a team to create a new service and are seeking diverse specialists from the gaming industry and beyond.

We expect you to:
• Know Kotlin and Java
• Be familiar with Android system frameworks and Google guidelines
• Use Git

What you'll need to do:
• Develop an SDK for a new service and integrate it into various applications
• Participate in designing interactions between the client and server
• Solve problems across a variety of scenarios

It would be a plus if you:
• Developed client-server applications (JSON + HTTPS)
• Know how to write tests
• Worked on a platform team
• Have experience with TeamCity

https://ya.cc/t/IEuz3bYMXMnze

#android #kotlin #java #json #https #teamcity"
Front-end developer for the HR project development team,👨,"Our projects include Contest, Mobius, Academy, the ""I Am a Professional"" Olympiad, and others. These projects help the HR department work with both new and existing Yandex employees.
Key technologies and approaches you should know or be prepared to learn: JS, TypeScript, Next.js, Nest.js, Node.js, React, Redux, HTML/CSS, Express, REST API, Git, Docker, Agile, and Scrum.","• have been involved in front-end development for more than two years
• have worked on large projects
• have worked with React, Vue, or Angular
• understand Node.js","• participate in project creation, discussions, and feature implementation
• support projects","• understand backend development in Python
• have worked in educational systems",frontend JS typescript react next,https://ya.cc/t/CR7I4WI1XPzxi,"Frontend Developer for the HR Project Development Team 👨

Our projects include Contest, Mobius, Academy, the ""I Am a Professional"" Olympiad, and others. These projects help the HR department work with both newcomers and existing employees.
Key technologies and approaches you should know or be prepared to learn: JS, TypeScript, Next.js, Nest.js, Node.js, React, Redux, HTML/CSS, Express, REST API, Git, Docker, Agile, and Scrum.

We expect you to:
• Have been involved in front-end development for more than two years
• Have worked on large projects
• Have worked with React, Vue, or Angular
• Understand Node.js

What you'll need to do:
• Participate in project creation, discussions, and feature implementation
• Support projects

It's a plus if you:
• Have an understanding of back-end development in Python
• Have worked in educational systems

https://ya.cc/t/CR7I4WI1XPzxi

#frontend #JS #typescript #react #next"
BI Developer,👨,We are seeking a specialist for our reporting development service who develops analytical reports based on BI MicroStrategy.,"• have been developing in Oracle PL/SQL for more than three years
• understand the architecture of analytical data warehouses (star and snowflake schemas, OLAP)
• have worked with Git or SVN","• create reports, visualizations, dashboards, integrations, database objects
• perform refactoring","• Know Java or Python
• Know web application architecture
• Familiar with OEBS, columnar databases (Vertica), and BI tools (MicroStrategy)",analytics,https://ya.cc/t/fwJsxQe8Xcj5j,"BI Developer 👨

We are seeking a specialist for the reporting development service, developing analytical reports based on BI MicroStrategy.

We expect you to:
• have been developing in Oracle PL/SQL for more than three years
• understand analytical data warehouse architecture (star and snowflake schemas, OLAP)
• have worked with Git or SVN

What you'll need to do:
• create reports, visualizations, dashboards, integrations, and database objects
• perform refactoring

It would be a plus if you:
• know Java or Python
• understand web application architecture
• are familiar with OEBS, columnar databases (Vertica), and BI tools (MicroStrategy)

https://ya.cc/t/fwJsxQe8Xcj5j

#analytics"
iOS App Developer at Plus,📱,"The Yandex Plus team is responsible for developing content subscriptions and user loyalty. For example, we're developing cashback with Plus points. One of the team's main goals is to foster cross-service collaboration: Plus subscribers discover new Yandex products, and Yandex services gain new users. We have many ideas for how to achieve this: social features, new mechanics, and strong hypotheses that we'll test together.
We're assembling a team to create a new service and are seeking diverse specialists from the gaming industry and beyond.","• knowledge of Swift and Objective-C
• familiar with iOS system frameworks and Apple guidelines
• know how to use Git","• Participate in building mobile application infrastructure
• Design, implement, and deploy basic components
• Automate development and testing processes
• Analyze and improve application performance","• developed client-server applications (JSON + HTTPS)
• know how to write tests
• worked on a platform team
• have experience working with TeamCity",ios swift objectivec git json https,https://ya.cc/t/_cYYOcm7XMrne,"iOS App Developer at Plus📱

The Yandex Plus team is responsible for developing content subscriptions and user loyalty. For example, we're developing cashback with Plus points. One of the team's main goals is to foster cross-service collaboration: Plus subscribers discover new Yandex products, and Yandex services gain new users. We have many ideas for how to achieve this: social features, new mechanics, and strong hypotheses that we'll test together.
We're assembling a team to create a new service and are seeking diverse specialists from the gaming industry and beyond.

We expect you to:
• Know Swift and Objective-C
• Be familiar with iOS system frameworks and Apple guidelines
• Use Git

What you'll need to do:
• Participate in building mobile app infrastructure
• Design, implement, and deploy core components
• Automate development and testing processes
• Analyze and improve app performance

It would be a plus if you:
• Developed client-server applications (JSON + HTTPS)
• Know how to write tests
• Worked on a platform team
• Have experience with TeamCity

https://ya.cc/t/_cYYOcm7XMrne

#ios #swift #objectivec #git #json #https"
Unity Engineer at Plus,🌄,"The Yandex Plus team is responsible for developing content subscriptions and user loyalty. For example, we're developing cashback with Plus points. One of the team's main goals is to foster cross-service collaboration: Plus subscribers discover new Yandex products, and Yandex services gain new users. We have many ideas for how to achieve this: social features, new mechanics, and strong hypotheses that we'll test together.
We're assembling a team to create a new service and are seeking diverse specialists from the gaming industry and beyond.","• Proficient in C# and Unity
• Knowledge of algorithms and data structures
• Knowledge of 3D mathematics
• Understanding of how the render engine works","• develop various algorithms and implement them in a new project
• analyze and optimize scripts and rendering
• create extensions for the Unity Editor","• created 3D assets
• developed shaders",Unity CSharp,https://ya.cc/t/ELB8wHgrXN6kq,"Unity Engineer at Plus🌄

The Yandex Plus team is responsible for developing content subscriptions and user loyalty. For example, we're developing cashback with Plus points. One of the team's main goals is to foster cross-service collaboration: Plus subscribers discover new Yandex products, and Yandex services gain new users. We have many ideas for how to achieve this: social features, new mechanics, and strong hypotheses that we'll test together.
We're assembling a team to create a new service and are seeking diverse specialists from the gaming industry and beyond.

We expect you to:
• be fluent in C# and Unity
• understand algorithms and data structures
• be familiar with 3D mathematics
• understand how the engine's rendering works

What you'll need to do:
• develop various algorithms and implement them in a new project
• analyze and optimize scripts and rendering
• create extensions for the Unity Editor

It would be a plus if you:
• created 3D assets
• developed shaders

https://ya.cc/t/ELB8wHgrXN6kq

#unity #csharp"
C++ Developer at Search (e-commerce),🎁,"The online shopping market is growing rapidly, and many Yandex teams are eager to tap into it. Our team helps shoppers find products, and businesses communicate their experiences and create e-commerce platforms. We develop web search products that enhance purchase generation within our ecosystem and improve the product selection and purchase experience.","• Are fluent in C++ or ready to transition to it
• Have experience in commercial development
• Know classical algorithms and data structures","• Write C++ and Python code for Search components
• Develop factors and train models
• Develop and implement metrics and quality monitoring
• Analyze the results of A/B experiments
• Suggest ideas for improving our products","• developed high-load systems
• have experience in ML",CPP Python backend,https://ya.cc/t/p3T1QkCPWakd5,"C++ Developer in Search (e-commerce) 🎁

The online shopping market is growing rapidly, and many Yandex teams are eager to tap into it. Our team helps shoppers find products, and businesses communicate their experiences and create e-commerce platforms. We develop web search results products that enhance purchase generation within our ecosystem and improve the product selection and purchase experience.

We expect you to:
• be proficient in C++ or willing to transition to it
• have experience in commercial development
• know classic algorithms and data structures

What you'll need to do:
• write C++ and Python code for Search components
• develop factors and train models
• develop and implement metrics and quality monitoring
• analyze the results of A/B experiments
• suggest ideas for improving our products

It would be a plus if you:
• have developed high-load systems
• have experience in ML

https://ya.cc/t/p3T1QkCPWakd5

#backend #CPP #python"
Developer at Experiments (Yandex.Advertising),🔬,"Yandex.Advertising is not only a large and complex service, but also one of the company's key revenue streams.
We are developing a platform for conducting online experiments for Search, Images, Video, Ads, Maps, Zen, and other Yandex services. The platform includes a high-load cloud service for splitting user requests into groups for A/B experiments and a statistics calculation system. This system performs distributed calculations daily on more than a petabyte of source data, calculating hundreds of thousands of metrics for each of the thousands of included experiments. We are also developing tools for analyzing experiment results, which enable Yandex products to develop faster. We use C++, Python, Django, JavaScript, MapReduce, distributed computing, and high-load components.","• worked with C++ or Python
• know the approaches and principles of creating high-load, scalable systems","• Develop and program new advertising metrics
• Implement experiments in new advertising products
• Implement automatic percentage increases in A/B experiments and automatic disabling of poor experiments
• Develop a comprehensive approach to correctly assessing the results of a large flow of advertising experiments","• know terver and matstat
• used ML",CPP Python backend,https://ya.cc/t/U3cDf5XTX8UQM,"Developer at Experiments (Yandex.Advertising)🔬

Yandex.Advertising is not only a large and complex service, but also one of the company's key revenue drivers.
We are developing a platform for conducting online experiments for Search, Images, Video, Ads, Maps, Zen, and other Yandex services. The platform includes a high-load cloud service for splitting user requests into groups for A/B experiments and a statistics calculation system. This system performs distributed calculations daily on more than a petabyte of source data, calculating hundreds of thousands of metrics for each of the thousands of experiments. We also develop tools for analyzing experiment results, which enable Yandex products to develop faster. We use C++, Python, Django, JavaScript, MapReduce, distributed computing, and high-load components.

We expect you to:
• have worked with C++ or Python
• know the approaches and principles of creating high-load, scalable systems

What you'll need to do:
• develop and program new advertising metrics
• implement experiments in new advertising products
• implement automatic percentage increases in A/B experiments and automatic disabling of poor experiments
• develop a comprehensive approach to accurately assessing the results of a large stream of advertising experiments

It would be a plus if you:
• have knowledge of terver and mathematical statistics
• have used ML

https://ya.cc/t/U3cDf5XTX8UQM

#backend #CPP #python"
Video Search Quality Developer,📹,"The main goal of our service is to find the most relevant videos in response to a query and display them among search results (websites, images, maps, etc.) in the right place. We have our own search stack: from balancers that process queries to a robot that crawls the internet and searches for video sites.
We are looking for people to join us in developing video search.","• enjoy solving interesting and complex problems
• confidently write in C++
• know algorithms and data structures
• have developed distributed, high-load, and fault-tolerant systems","• improve video search quality
• implement new ranking models (conduct experiments and deliver them to users as quickly as possible)
• improve service resiliency, reliability, and performance","• Interested in ML
• Have worked with databases
• Are confident using the Unix command line
• Have used scripting languages",video search backend,https://ya.cc/t/5F5SbzCqYRv89,"Video Search Quality Developer 📹

The main goal of our service is to find the most relevant videos in response to a query and display them in the right place among search results (websites, images, maps, etc.). We have our own search stack: from balancers that process queries to a robot that crawls the internet and searches for websites with videos.
We are looking for people to work with us on developing video search.

We expect you to:
• enjoy solving interesting and complex problems
• confidently write in C++
• know algorithms and data structures
• have developed distributed, high-load, and fault-tolerant systems

What you need to do:
• improve video search quality
• implement new ranking models (conduct experiments and deliver models to users as quickly as possible)
• improve the service's fault tolerance, reliability, and performance

It would be a plus if you:
• are interested in ML
• have worked with databases
• are confident using the Unix command line
• have used scripting languages

https://ya.cc/t/5F5SbzCqYRv89

#search #video #backend"
BI Expert in Vertical,👨,"Our team develops analytical reporting for Yandex.Verticals (Auto.ru, Yandex.Real Estate, Yandex.Classifieds). If your data visualization skills extend beyond flat tables and multiple lines, and you're interested in creating stunning dashboards using Tableau and SQL, you'll definitely love working with us.","• worked on BI projects as an analyst or developer
• understand the principles of data warehouses, relational and non-relational databases
• know how to use Tableau Desktop not only to build dashboards, but also to optimize them","• Develop, maintain, and document analytical reporting dashboards (Tableau)
• Participate in setting tasks for data mart development
• Analyze the causes of data anomalies and seek ways to eliminate them",• Advanced user or Tableau Server administrator,analytics,https://ya.cc/t/7z6oGH3KYYb6o,"BI Expert in Verticals 👨

Our team develops analytical reporting for Yandex.Verticals (Auto.ru, Yandex.Real Estate, Yandex.Classifieds). If your data visualization skills extend beyond flat tables and multiple lines, and you're interested in creating stunning dashboards using Tableau and SQL, you'll definitely love working with us.

We expect you to:
• have worked on BI projects as an analyst or developer
• understand the principles of data warehousing, relational, and non-relational databases
• be able to use Tableau Desktop not only to build dashboards but also to optimize them

What you'll need to do:
• develop, maintain, and document analytical reporting dashboards (Tableau)
• participate in setting data mart development tasks
• analyze the causes of data anomalies and find ways to resolve them

It would be a plus if you:
• are an advanced user or administrator of Tableau Server

https://ya.cc/t/7z6oGH3KYYb6o

#analytics"
Interface Developer at Mail,📬,"Drive, Mail, Calendar, Telemost, and Notes are Yandex's personal services that help solve everyday problems and make life easier for millions of people.
Our team develops interfaces for personal services, prepares components for embedding in mobile apps, and develops build and deployment tools. We use TypeScript, Node.js, React, Redux, MobX, webpack, SSR, Service Workers, and IndexedDB.","• know JavaScript and HTTP principles
• know how to work in the *nix command line","• Design service and product architecture
• Modernize the technology stack of services
• Develop complex visual components
• Responsible for integration with native iOS and Android applications
• Deploy applications independently","• developed in TypeScript, Node.js
• worked with Grunt, Gulp, Webpack, Rollup, or any other build system
• wrote automated tests",frontend js,https://ya.cc/t/KZfer5D_XqoDt,"Interface Developer at Mail📬

Yandex Drive, Mail, Calendar, Telemost, and Notes are personalized services that help solve everyday problems and make life easier for millions of people.
Our team develops interfaces for personalized services, prepares components for embedding in mobile apps, and develops build and deployment tools. We use TypeScript, Node.js, React, Redux, MobX, webpack, SSR, Service Workers, and IndexedDB.

We expect you to:
• Know JavaScript and HTTP principles
• Proficient in the *nix command line

What you'll need to do:
• Design service and product architecture
• Modernize the service technology stack
• Build complex visual components
• Be responsible for integration with native iOS and Android apps
• Deploy apps yourself

It's a plus if you:
• Developed in TypeScript, Node.js
• Worked with Grunt, Gulp, Webpack, Rollup, or any other build system
• Write automated tests

https://ya.cc/t/KZfer5D_XqoDt

#frontend #js"
Java and C++ developers in fintech backend,💳,"We're a startup within Yandex. We're building a fintech product from scratch—you'll be involved in technology selection, architecture design, and making the first and most important decisions.
We plan to launch a fintech product with new technologies, leveraging Yandex's full infrastructure power to make the product as productive, user-friendly, and reliable as possible.
We're looking for Java and C++ developers with experience in commercial projects. Join the team.
For more information, please contact our recruiters.","• know C++ and have been writing production projects in it for at least three years
• work with SQL and NoSQL databases
• understand data structures and algorithms
• are ready to develop a new product with us","• develop a product engine
• develop client business logic and fintech service infrastructure
• create a distributed fault-tolerant system
• design and scale microservices","• have experience working in banks, financial or payment services",CPP Java backend,https://ya.cc/t/xkH9QIGKSjdcS,"Java and C++ developers for fintech backend 💳

We're a startup inside Yandex. We're building a fintech product from scratch—you'll be involved in technology selection, architecture design, and making the first and most important decisions.
Our plans include launching a fintech product with new technologies, leveraging Yandex's full infrastructure capacity to make the product as productive, user-friendly, and reliable as possible.
We're looking for Java and C++ developers with experience in commercial projects. Join the team.
For more details, please contact our recruiters.

We expect you to:
• Know C++ and have at least three years of experience writing projects in it
• Work with SQL and NoSQL databases
• Understand data structures and algorithms
• Be willing to develop a new product with us

What you'll need to do:
• Develop a product engine
• Develop client-side business logic and fintech service infrastructure
• Create a distributed, fault-tolerant system
• Design and scale microservices

It will be a plus if you:
• Have experience working in banks, financial services, or payment services

https://ya.cc/t/xkH9QIGKSjdcS

#backend #CPP #java"
Unity Engineer at Plus,🧬,"The Yandex Plus team is responsible for developing content subscriptions and user loyalty. For example, we're developing cashback with Plus points. One of the team's main goals is to foster cross-service collaboration: Plus subscribers discover new Yandex products, and Yandex services gain new users. We have many ideas for how to achieve this: social features, new mechanics, and strong hypotheses that we'll test together.
We're assembling a team to create a new service and are seeking diverse specialists from the gaming industry and beyond.","• Proficient in C# and Unity
• Knowledge of algorithms and data structures
• Knowledge of 3D mathematics
• Understanding of how the render engine works","• develop various algorithms and implement them in a new project
• analyze and optimize scripts and rendering
• create extensions for the Unity Editor","• created 3D assets
• developed shaders",Unity CSharp,https://ya.cc/t/ELB8wHgrXN6kq,"Unity Engineer at Plus🧬

The Yandex Plus team is responsible for developing content subscriptions and user loyalty. For example, we're developing cashback with Plus points. One of the team's main goals is to foster cross-service collaboration: Plus subscribers discover new Yandex products, and Yandex services gain new users. We have many ideas for how to achieve this: social features, new mechanics, and strong hypotheses that we'll test together.
We're assembling a team to create a new service and are seeking diverse specialists from the gaming industry and beyond.

We expect you to:
• be fluent in C# and Unity
• understand algorithms and data structures
• be familiar with 3D mathematics
• understand how the engine's rendering works

What you'll need to do:
• develop various algorithms and implement them in a new project
• analyze and optimize scripts and rendering
• create extensions for the Unity Editor

It would be a plus if you:
• created 3D assets
• developed shaders

https://ya.cc/t/ELB8wHgrXN6kq

#unity #csharp"
Front-end developer at Zen,🔮,"Yandex.Zen is a recommendation service and blogging platform with a daily audience of over 21 million users. The tools developed by the Blogger Scripts group help authors grow their channels, build communication with subscribers, and create great content, while helping users find the best publications. Join us if you're interested in developing markup tools for moderators, content sharing tools (reposts, widget links in publications, sharing in Instagram Stories), and a content management system for editors. We use React, Redux, TypeScript, RxJS, and Node.js (server-side rendering).","• More than two years of front-end development
• Excellent JavaScript skills
• Understand React's operating principles and performance optimization techniques","• Develop client-side business logic
• Analyze and improve performance
• Work on responsive cross-browser layout
• Work with animation in browsers
• Create tests to automatically check the logic and appearance of components","• worked with Node.js
• are proficient in the Unix shell and scripting languages
• know TypeScript and RxJS
• are able and willing to write automated tests",frontend js zen,https://ya.cc/t/wWFBSozZXg5dX,"Frontend Developer at Zen🔮

Yandex.Zen is a recommendation service and blogging platform with a daily audience of over 21 million users. The tools developed by the blogging scripts group help authors grow their channels, build communication with subscribers, and create great content, while helping users find the best publications. Join us if you're interested in developing markup tools for moderators, content sharing tools (reposts, widget links in publications, sharing in Instagram Stories), and a content management system for editors. We use React, Redux, TypeScript, RxJS, and Node.js (server-side rendering).

We expect you to:
• Have more than two years of front-end development experience
• Have excellent JavaScript skills
• Understand React principles and performance optimization

What you need to do:
• Develop client-side business logic
• Analyze and improve performance
• Work on responsive cross-browser layout
• Work with animation in browsers
• Create tests to automatically check the logic and appearance of components

It would be a plus if you:
• Have experience with Node.js
• Have a working knowledge of the Unix shell and scripting languages
• Know TypeScript and RxJS
• Are able and willing to write automated tests

https://ya.cc/t/wWFBSozZXg5dX

#frontend #js #zen"
BI analyst,🗂,"The Advertising Planning and Reporting Service is seeking a Business Analyst to help us develop a reporting system for monitoring business performance. We need a professional who will enhance the tools that help senior management analyze key metrics and track progress across the most important areas of the advertising business.
You will be responsible for collecting data from diverse sources, interacting with clients and various teams within Yandex, and improving the current reporting pipeline. You can expect complex and interesting challenges, cutting-edge technologies, opportunities for professional development, and, of course, lots and lots of data.","• have a technical, mathematical, or economic education
• have worked in the analytics department of a large company
• have excellent knowledge of SQL (any dialect), have worked with databases
• are a systemic and analytical thinker, and are good at interacting with people and working in a team
• are good at organizing your time and work, and complete tasks accurately and on time","• Interact with internal customers to determine their analytics and reporting needs
• Create visually understandable reports using BI tools (we primarily work in DataLens)
• Collect requirements and suggestions for BI tools
• Improve the culture of data consumption and insight seeking within teams","• know the basics of Python (at the level of functions, loops, lists)",analytics,https://ya.cc/t/G-1EEnTBZbt5C,"BI Analyst🗂

The Advertising Planning and Reporting Service is seeking a Business Analyst to help us develop a reporting system for monitoring business performance. We need a professional who will improve the tools that help senior management analyze key metrics and track progress in the most important areas of the advertising business.
You will be responsible for collecting data from diverse sources, interacting with clients and various teams within Yandex, and improving the current reporting pipeline. You will be faced with complex and interesting challenges, cutting-edge technologies, opportunities for professional development, and, of course, lots and lots of data.

We expect you to:
• have a technical, mathematical, or economic education
• have worked in the analytics department at a large company
• have excellent knowledge of SQL (any dialect), have worked with databases
• be a systems and analytical thinker, and are good at interacting with people and working in a team
• be able to organize your time and work, and complete tasks accurately and on time

What you'll need to do:
• interact with internal customers to identify their analytics and reporting needs
• create visually understandable reports using BI tools (we primarily work with DataLens)
• gather requirements and suggestions for BI tools
• improve the culture of data consumption and insight discovery within teams

It would be a plus if you:
• have basic Python knowledge (functions, loops, and lists)

https://ya.cc/t/G-1EEnTBZbt5C

#analytics"
Frontend Team Lead at Plus,🎛,"Yandex Plus is a unified subscription to Yandex services—a unique and complex product. We have several million subscribers, and we're not stopping there. We're building an ecosystem that will drive Plus's growth as Yandex's loyalty program. We're working like a startup, and we have a lot of exciting challenges ahead.
We're looking for a team leader for one of Plus's frontend areas. This area creates the user's personal account and an interface that helps users understand how to get the most out of their subscription.","• managed a team
• understand the specifics of SPA applications
• are familiar with the React and Redux libraries","• Write and revise the project's technical development roadmap and monitor its implementation
• Monitor code quality, justify refactorings, and incorporate them into sprints, while keeping product objectives in mind
• Develop automated testing, monitoring, and secure release processes
• Manage the development process: automate manual work, eliminate bottlenecks that slow down feature delivery
• Hire and develop new developers","• Familiar with TypeScript, GraphQL, TeamCity, Travis, Jenkins, and Drone
• Created projects with server-side rendering (Node.js and Express)
• Profiled and optimized performance
• Wrote integration or unit tests",React Redux SPA frontend,https://ya.cc/t/7p3vtjk4XqVUb,"Frontend Team Leader at Plus🎛

Yandex Plus is a unified subscription to Yandex services—a unique and complex product. We have several million subscribers, and we're not stopping there. We're building an ecosystem that will drive Plus's growth as Yandex's loyalty program. We're working like a startup, and we have a lot of interesting challenges.

We're looking for a team leader for one of Plus's frontend areas. This area creates user accounts and an interface that helps users understand how to get the most out of their subscription.

We expect you to:
• Manage a team
• Understand the specifics of SPA applications
• Be familiar with React and Redux libraries

What you'll need to do:
• Write and adjust the project's technical development roadmap, monitor its implementation
• Monitor code quality, justify refactorings, and include them in sprints, while keeping product tasks in mind
• Develop automated testing, monitoring, and secure release processes
• Manage the development process: automate manual work, eliminate bottlenecks that slow down feature delivery
• Hire and develop new developers

It would be a plus if you:
• Are familiar with TypeScript, GraphQL, TeamCity, Travis, Jenkins, and Drone
• Created projects with server-side rendering (Node.js and Express)
• Profiled and optimized performance
• Wrote integration or Unit tests

https://ya.cc/t/7p3vtjk4XqVUb

#frontend #SPA #react #redux"
Front-end developer at Zen,🏟,"Yandex.Zen is a recommendation service and blogging platform with a daily audience of over 21 million users. The tools developed by the Blogger Scripts group help authors grow their channels, build communication with subscribers, and create great content, while helping users find the best publications. Join us if you're interested in developing markup tools for moderators, content sharing tools (reposts, widget links in publications, sharing in Instagram Stories), and a content management system for editors. We use React, Redux, TypeScript, RxJS, and Node.js (server-side rendering).","• More than two years of front-end development
• Excellent JavaScript skills
• Understand React's operating principles and performance optimization techniques","• Develop client-side business logic
• Analyze and improve performance
• Work on responsive cross-browser layout
• Work with animation in browsers
• Create tests to automatically check the logic and appearance of components","• worked with Node.js
• are proficient in the Unix shell and scripting languages
• know TypeScript and RxJS
• want and know how to write automated tests",frontend js zen,https://ya.cc/t/wWFBSozZXg5dX,"Frontend Developer at Zen🏟

Yandex.Zen is a recommendation service and blogging platform with a daily audience of over 21 million users. The tools developed by the blogging scripts group help authors grow their channels, build communication with subscribers, and create great content, while helping users find the best publications. Join us if you're interested in developing markup tools for moderators, content sharing tools (reposts, widget links in publications, sharing in Instagram Stories), and a content management system for editors. We use React, Redux, TypeScript, RxJS, and Node.js (server-side rendering).

We expect you to:
• Have more than two years of front-end development experience
• Have excellent JavaScript skills
• Understand React principles and performance optimization

What you need to do:
• Develop client-side business logic
• Analyze and improve performance
• Work on responsive cross-browser layout
• Work with animation in browsers
• Create tests to automatically check the logic and appearance of components

It will be a plus if you:
• Have experience with Node.js
• Have a working knowledge of the Unix shell and scripting languages
• Know TypeScript and RxJS
• Are willing and able to write automated tests

https://ya.cc/t/wWFBSozZXg5dX

#frontend #js #zen"
C++ Developer at Navigator,🗺,"Yandex.Navigator helps millions of drivers reach their destinations as quickly as possible. Our team guides drivers through their journeys: we show their location, assist with maneuvering, monitor traffic conditions, and adjust their routes. We use C++17, coroutines, and Docker.","• written code in C++ using the standard library
• have experience with multithreaded programming
• have excellent knowledge of Linux
• built a client-server architecture
• are familiar with modern containerization and cloud computing technologies
• are able to formulate goals based on fuzzy technical requirements","• develop services with a load of hundreds of thousands of requests per second with an SLA of 99.99%
• add new features to the cross-platform Yandex MapKit mobile library
• conduct A/B experiments, calculate metrics, and interpret their values
• analyze big data and create ML models","• created high-load services
• developed for iOS and Android
• know mathematical statistics, data analysis, and ML",CPP Linux backend,https://ya.cc/t/i4D6-AzgXg9zG,"C++ Developer at Navigator🗺

Yandex.Navigator helps millions of drivers reach their destinations as quickly as possible. Our team guides drivers through their journeys: we show their location, assist with maneuvers, monitor traffic conditions, and adjust their routes. We use C++17, coroutines, and Docker.

We expect you to:
• have written C++ code using the standard library
• have experience with multithreaded programming
• have excellent knowledge of Linux
• have built client-server architecture
• be familiar with modern containerization and cloud computing technologies
• be able to formulate goals based on fuzzy technical requirements

What you need to do:
• develop services with a load of hundreds of thousands of requests per second with an SLA of 99.99%
• add new features to the cross-platform mobile library Yandex MapKit
• conduct A/B experiments, calculate metrics, and interpret their values
• analyze big data and create ML models

It will be a plus if you:
• have created high-load services
• developed for iOS and Android
• know mathematical statistics, data analysis, and ML

https://ya.cc/t/i4D6-AzgXg9zG

#backend #CPP #linux"
Security camera developer in Go,🔭,"A vehicle monitoring camera is a sophisticated, high-tech product that monitors driver attention and behavior. Our team is responsible for developing the camera's system software, algorithms, and components for monitoring driver behavior and attention. We have a very important mission: to improve travel safety for both drivers and passengers. Join us!","• Have been developing in C or C++ for Linux for the past few years
• Familiar with Python
• Have worked with embedded devices","• Design and develop services for analyzing video and images within a compact device
• Develop code that evaluates driver behavior and makes decisions when anomalies are detected
• Analyze vehicle movement using GPS and accelerometer data, detect accidents or dangerous maneuvers
• Synchronize camera data and settings with the cloud
• Develop key services to support camera operation","• worked with ML and CV technologies
• are familiar with video processing and transmission technologies
• have a technical or mathematical education
• have worked with IoT devices",With CPP Python Linux,https://ya.cc/t/gKDkZax6XinJj,"Safety Camera Developer at Go🔭

A vehicle monitoring camera is a complex, high-tech product that monitors driver attention and behavior. Our team is responsible for developing the camera's system software, algorithms, and components for monitoring driver behavior and attention. We have a very important mission: to improve travel safety for both drivers and passengers. Join us!

We expect you to:
• Have developed in C or C++ for Linux in the last few years
• Be familiar with Python
• Work with embedded devices

What you'll need to do:
• Design and develop services for video and image analysis within a compact device
• Develop code that evaluates driver behavior and makes decisions when anomalies are detected
• Analyze vehicle movement using GPS and accelerometer data, detect accidents or dangerous maneuvers
• Sync camera data and settings with the cloud
• Develop key services to support camera operation

It would be a plus if you:
• Have worked with ML and CV technologies
• Are familiar with video processing and transmission technologies
• Have a technical or mathematical background
• Have worked with IoT devices

https://ya.cc/t/gKDkZax6XinJj

#С #CPP #python #linux"
ML developer for the content filtering team,🧲,"Our team protects Yandex services from all kinds of unwanted content: pornography in Search, toxicity in News, spam in Reviews, veiled obscenities in Passport logins, and more.
We currently support twenty services, and this number is constantly growing. The system we're building consists of dozens of classifiers: regular expressions, linear models, catboosts, and neural networks of various architectures—and visits to Toloka.
Our main goal is to make content analysis high-quality, affordable, and fast.","• confidently write code (C++ or Python)
• know ML","• build and develop pipelines for training classifiers
• analyze current problems of specific services and general models","• have experience in Deep Learning and NLP
• have worked on ML-heavy services",ML CPP Python,https://ya.cc/t/JBWlkaA_XszGi,"ML developer for the unwanted content filtering team 🧲

Our team protects Yandex services from all kinds of unwanted content: porn in Search, toxicity in News, spam in Reviews, veiled obscenities in Passport logins, etc.
We currently support twenty services, and this number is constantly growing. The system we're building consists of dozens of classifiers: regular expressions, linear models, catboosts, and neural networks of various architectures—and visits to Toloka.
Our main goal is to make content analysis high-quality, affordable, and fast.

We expect you to:
• Confidently write code (C++ or Python)
• Know ML

What you need to do:
• Build and develop pipelines for training classifiers
• Analyze current problems of specific services and general models

It will be a plus if you:
• Have experience in Deep Learning and NLP
• Have worked on ML-heavy services

https://ya.cc/t/JBWlkaA_XszGi

#ML #CPP #python"
